name,earthone_link,organisation,title,location,website,instagram_link,linkedin_link,nationality,bio,offer,need,action,guild,earthone_role
Khaled Emam,https://earthone.world/alliance/khaled-emam,Justice Call,EXECUTIVE DIRECTOR,Egypt,www.justicecall.org,,https://www.linkedin.com/in/khaled-emam-b2842ab1/,,"Khaled Emam is a teaching assistant and researcher at the Harvard Kennedy School of Government, a human rights lawyer, and an international human rights specialist. He currently serves as the Executive Director of Justice Call, a non-profit organization based in New York that focuses on empowering young people in the MENA region. Justice Call hosts several key platforms for dialogue and peacebuilding in the area, including the MENA Coalition on Youth, Peace, and Security (MCYPS) and the Regional Network on Prevention (WRNP). Before this role, Khaled served as Co-Chair of The United Nations Inter-Agency Network on Youth Development (UN IANYD).
Khaled's work focuses on “Making Peace Works” by building networks and coalitions that bring people closer to constructive dialogue in polarized societies to advocate for a region where all people enjoy dignity and the freedom to exercise their political rights.
Khaled has a master’s in international law from Cairo University and a master’s in public administration from Harvard Kennedy School of Government.","
- People Power 
- Do you want to learn about the Middle East Politics and Conflicts?
- Adaptive Leadership Workshops
- Book Discussions
- Why Wars Happen?","
One of the biggest challenges I face is the crisis of identity. By this, I mean that people and leaders often define what is moral and just based on their own identities, backgrounds, and cultures. For example, do people in the Arab region feel the pain of Israelis as deeply as they do for Palestinians? Do Europeans empathize with Ukrainians in the same way they do with Palestinians? This identity-based moral divide presents a significant obstacle to effective leadership and global cooperation.

I believe in a world where all human lives are treated equally, regardless of identity, culture, or religion. I envision a world where our identities do not blind us to the injustices and suffering of others. This is why I consider the crisis of identity to be my greatest challenge—it influences every aspect of my work with partners and groups striving to stop violence and make the world peaceful. It impacts how global institutions, donors, the UN, and other entities decide whether to care or not to care. To act or to remain silent in the face of injustice.","
My call to action for the Earth One community is to join me in restructuring the global governance system, which is currently based on power and identities, to make it stronger, more equitable, and fit for purpose. Together, we can challenge the systems and structures that allow identity and nation-based interests to dictate who is cared for and who is neglected. I invite the community to collaborate on creating inclusive frameworks for a new global order—one that is inclusive and capable of addressing the 21st century challenges.",,
Kim Macharia,https://earthone.world/alliance/kim-macharia,,,,,https://www.instagram.com/galactic_kim/profilecard/?igsh=ZjNydmNzMnZvNnV6,https://www.linkedin.com/in/kim-macharia-459266aa?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,USA,,,,,INTELLIGENCES,FELLOW
KJ Erickson,https://earthone.world/alliance/kj-erickson,Arising Ventures,"CEO & MANAGING PARTNER, ARISING VENTURES","lafayette, ca",www.arisingventures.com,https://www.instagram.com/__kjerstin__,https://linkedin.com/in/kjerstine,,"KJ Erickson is the CEO and Managing Partner at Arising Ventures, a holding company that buys, incubates and operates high-margin technology companies. With a portfolio of companies spanning enterprise SAAS, marketplaces, and financial auditing, KJ focuses on getting the right deals done, putting the right talent in place, supporting their development, and aligning her family of companies with the values and vision that drive her.
A founder since dropping out of college at age 20, KJ has sat in the CEO seat across a variety of industries, with a particular focus on marketplaces and SaaS.
KJ received her bachelors in Public Policy from Stanford University, and her MBA from Oxford. Awards and recognitions include:
- Rolling Stone, “25 People Shaping the Future”
- CNN, “Person You Should Know” awarded by Anderson Cooper
- Skoll Scholarship for Social Entrepreneurship - full merit scholarship to Oxford
- Clinton Foundation Honoree presented by Bill Clinton and Queen Rania of Jordan
- Glamour Magazine, “Top 10 College Women”
- New Leaders Council, ""Top 40 Leaders Under 40”
- Top Writer in Technology on Medium.com
- Y Combinator S16","
I have spent 20 years exploring broken economic systems, starting from the ground up (refugee camps and the agencies that serve them), moving into the middle layer (building the largest bartering system in the world run by a virtual currency to allow those left out of the traditional economic system an opportunity for prosperity, and ultimately now disrupting the most traditional systems of capital and power from the inside out via working to prove that you can do even private equity in an ethical, human-centric way.  

My theories of change have evolved greatly over the years, at times focused on the most bottom-up and at times on the most top-down. I have been a thought leader in the social entrepreneurship & international development space, a thought leader in the alternative economies/currencies space as a Top Writer in Technology on Medium (for example, https://medium.com/public-market/the-future-of-network-effects-tokenization-and-the-end-of-extraction-a0f895639ffb), and now am approaching PE and alternative acquisitions in a heart-centered way (see: https://www.ft.com/content/7eaa42f1-6301-45e3-8468-2e22e666cf11 and https://arisingventures.notion.site/10-Principles-High-Performance-With-Heart-b24c8b3691674ef3a8c02933510bb9c3). 

My academic training is in Economics & Public Policy (BA, Stanford) and Social Entrepreneurship & Finance (Skoll Scholarship, Oxford MBA). My thesis was a regression analysis of the variables impacting the cycles of conflict on the African continent, exploring the inextricable ties between economic well-being and the ability of a country to maintain peace after war (spoiler alert: in countries with a history of instability, average rainfall levels dropping just 10% leads to a 50% increase in the probability of a new conflict cycle).  As a Guidestar fellow, I've also done deep philosophical work on theories of change in philanthropy, have led campaigns redefining the importance of overhead spend in nonprofits (The Overhead Myth Campaign, 2013), and built products to educate donors on how to align their giving with their highest values. 

I would bring these diverse experiences and viewpoints to the Crossing, hopefully helping to establish a holistic understanding of issues faced at all levels of our global economic system.","
I feel very supported in the process of meeting my mission. Its just a long play! The more I prove on the results side, the more my methodology can be believed and the louder my voice can be.","
I have developed a set of standards defining ""ethical private equity"" (which applies also to ethical entrepreneurship more broadly) that I'd love to stand up to scrutiny and feedback.",NEW ECONOMIES,FELLOW
Kristofor Lofgren,https://earthone.world/alliance/kristofor-lofgren-,,MANAGING PARTNER,"Boulder, Colorado",www.redefineventures.com,https://www.instagram.com/kristoforlofgren/?hl=en,https://www.linkedin.com/in/kristofor-lofgren-7b2b3b3,,Live well. Do good.,"
Helping entrepreneurs build companies that transform humanity for the better, for generations to come.","
Capital and partners to help entrepreneurs build world changing companies.","
Collaboration",,
Kuma Kittay,https://earthone.world/alliance/kuma-kittay,,,,,,,USA,,,,,,
Laura Escudé,https://earthone.world/alliance/laura-escud,,MUSIC PRODUCER / SOUND ARTIST,"Los Angeles, CA/United States",www.lauraescude.com,https://www.instagram.com/lauraescude,https://www.linkedin.com/in/lauraescude/,,"Laura Escudé is a producer and sound artist creating auditory magic through weaving music, tech & consciousness. She is an innovator, entrepreneur, and live show designer with a deep understanding of complex technology and a profound passion for music and art. Fusing tech with art is her superpower.
There is a rare space where music, technology and deeply feminine artistry converge. This space has long been the domain of Escudé. A highly established artist, innovator and educator, this sonic vanguard incorporates cutting-edge tech and raw emotional depth into her recorded music and live performances.
Escudé performs as a one-woman orchestra, creating captivating and cinematic auditory moments. It is an honest, sensual and emotive spectacle of sound rendered in state-of-the-art machinery played by a woman with an intimate understanding of these complex tools.
Her latest creation, Chrysalis is a transformative soundscape designed to call in profound change and metamorphosis. Chrysalis is a journey through the depths of introspection and the patience and trust required for true transformation. This musical experience is an invitation to shed old layers and step into a new beginning, renewed and reborn.","
I craft powerful, immersive soundscapes, harmonizing with facilitators to create the sonic backdrop for extraordinary, transformative journeys. I also guide participants in unlocking the magic of musical play, helping them tap into their creative flow through sound and technology.","
A real challenge is collaborating with facilitators or companies that haven’t yet felt the impact of a live, custom musical experience—it’s a whole new level of transformation they’re missing. That being said, I can’t wait to vibe with new artists and facilitators!","
Ready to co-create something magical? Let’s connect and explore how we can elevate experiences together through sound and creativity. Reach out, and let's make transformation happen!",,
Laura Haykel,https://earthone.world/alliance/laura-haykel,,FOUNDER,"Buffalo, NY",,https://www.instagram.com/lauraaiisha,https://linkedin.com/in/laurahaykel,USA,"I am an insatiably curious and creative being with a thirst for connection, community building, freedom, culture, being of service, world travel and magic making wherever I go. I left home at 16, was pregnant at 19 and by the grace of creation I followed a path that has supported me to use the raw skills I had as a born networker + connector to create an adventurous life and career over the last 20+ years.
Aspects of me include being an identical Twin, Mama, Fly Grannie, Business Owner, Singer/Songwriter, Podcast Producer + Host, Airbnb Superhost, World Traveler, West African Dancer, Cookie Baker, Solutions Generator, Energy Bringer, Community + Experience Architect.
A few of my creative projects can be found via the links below:
Podcast Ignite Intimacy: http://igniteintimacy.com/
Music: https://lauraaiisha.bandcamp.com/
TEDx Talk: https://www.youtube.com/watch?v=uBLYSWCOqbo","
Throughout my journey as an identical twin, a young single mom, and a high school dropout who built a career empowering small businesses to thrive, I’ve gained invaluable life experiences. And as someone who didn't feel like I belonged, inclusivity is a core value. Alongside my passions as a cookie baker, West African dancer, singer/songwriter, and world traveler, and my adoration for my family, the elders, culture and life itself - here are a few areas where I shine:

Commitment to The Container: I am committed to maintaining the integrity of our shared space by upholding its intended purpose. I proactively address challenges and foster open communication, ensuring that any issues are resolved collaboratively, allowing everyone to feel supported and connected within the container.

Relationship Catalyst: I excel at developing and sustaining long-term relationships, using an impeccable sense of timing to connect the right people at the right time, fostering collaboration and bringing visions to life.

Wisdom Within: As an empathic businesswoman, I combine practical strategies with strong intuition. While I analyze facts, I also rely on an innate ""wisdom within"" to make aligned choices and achieve goals with confidence and purpose.

Detail-Oriented & Big Picture Focused: My attention to detail, coupled with a focus on the broader vision, enables me to drive efficient and productive outcomes while having a damn good time!

Commitment to Exceptional Service and Design: I am passionate about delivering impeccable service and creating thoughtfully designed experiences that exceed expectations.",,"
I am showing up to be of service to the collective on this mission and grateful for the opportunity to do so!",,
Lauren Tucker,https://earthone.world/alliance/lauren-tucker,reNourish Studio,CEO/FOUNDER,"Hanalei, HI",www.renourishstudio.com,,https://www.linkedin.com/in/lauren-tucker-3034a714/,USA,"Lauren Frances Tucker is an entrepreneur and leader focused on evolving our food system. She founded and leads reNourish Studio, a developmental community of food business leaders working to enable regeneration through the act of doing business. She works on crop-specific regenerative agricultural projects in collaboration with White Buffalo Land Trust & her consultancy Beyond the Farm. These projects include www.thealmondproject.com, www.c4cotton.com, and www.theelderberry.com. Her past experience as Co-Founder and Executive Director of Kiss the Ground has led her to her current work with food business, investors, farmers, ranchers, manufacturers, scientists, and agricultural leaders. She holds a B.A. in international studies and psychology from American University.",,,"
At reNourish Studio and in collaboration with communities that we work with such as The Regenesis Institute for Regenerative Practice, we are working on these questions. I am curious to work on these with new collaborators aboard the Earth One ship. In order for businesses to evolve from being extractive to engaging in a process of regeneration, we need to not only evolve the way we think and our business strategies, but we also need to evolve key infrastructure so that it enables the process of regeneration. Additionally, it is critical that each unique place on the planet engages in a process of place-sourced essence expression in order to evolve its potential. I think that storytelling and the stories that we are telling all over the planet are going to be very important to generate interest for businesses and communities to engage in a process of regeneration.  Storytelling will be key in the transition from seeing the world as a machine to engaging with it as a living process, and unleashing the unique creativity of whole communities and all the individuals who live there instead of simply a few visionary leaders. Finally, I'm unclear about whether the questions I'm working on and contributions I have are meant for Biocultures, New Economies, or all of the disciplines. Our work is holistic in nature and I see the intersection of all the topics on the ship as critical to each other.",NEW ECONOMIES,FELLOW
Liana Sananda Gillooly,https://earthone.world/alliance/liana-sananda-gillooly,"North Star Project
MAPS","EXECUTIVE DIRECTOR, NORTH STAR PROJECT 
ADVISOR & ALUM, MAPS","Oakland, CA",,https://instagram.com/lianasananda/,https://www.linkedin.com/in/lianasanandagillooly,,"Liana Sananda Gillooly is a pioneering leader and sought after strategist in the fields of psychedelics and drug policy reform. For the last 14 years, she has seeded and built some of the most influential organizations in the space, including the Multidisciplinary Association for Psychedelic Studies (MAPS), Lykos Therapeutics, Chacruna Institute, Global Psychedelic Societies, and the Shulgin Foundation. Additionally, she worked on statewide campaigns to legalize cannabis and helped build the largest investor network in the cannabis industry, the Arcview Group. She currently advises companies and funders in the sector under Lodestar, LLC.
As Founder and Executive Director of North Star Project, Liana works across stakeholders to implement ethical frameworks that honor the profound responsibility of bringing powerful medicines into society. North Star bridges the psychedelic renaissance with next economy practices, recognizing that enduring healing requires reimagining our economic systems to prioritize regeneration over extraction, collective wellbeing over short-term profits, and stakeholder value over shareholder returns. Central to her vision is the understanding that advances in psychedelic medicine and drug policy reform must serve collective liberation, foster health equity, and uphold our sacred duty as stewards of life on Earth.
As a curator and convener, Liana has designed and built transformative gatherings including the world’s largest psychedelics conference in 2023, as well as numerous immersive art spaces that shape culture. Liana has shared her insights on stages like TEDx, SXSW, SOCAP, and Summit. As a death doula, she brings reverence for life's cycles and wisdom from sitting at the threshold between worlds.","
I offer expertise in the field of psychedelics, non-profit management, and fundraising; insight into the challenges of implementing  ""next economy"" practices at scale; banter in the name of inventing pranks and immersive art concepts; and peer support in the form of holding space for processing big feelings, especially grief from loss.","
I am leading a cohort of ~20 companies who are seeking to enhance their ethical practices through a one year learning and accountability journey. Our goal is to co-develop ethical guidelines & best practices for our emerging industry. I am seeking any insights, practices, or frameworks that may support operating a cohort like this. 

I am interested in connecting with anyone building local community health centers that focus on mental wellbeing. The most favorable format to create safe and wide access to the careful uses of psychedelics will be held in local communities of care and on a peer to peer level, outside of government or corporate controls.  I am interested in fostering the conditions for collectively stewarded community care centers (that not necessarily centered on psychedelic use) to emerge.","
Learn the art of deep listening and peer support to engender a culture of care. Serve others: in your family, your neighborhood and the broader community (not only your immediate friend circle). Build a permaculture garden, connect with those who you share a watershed with, consider building health in your bioregion through coordinating together. Interrogate the axiom of shareholder primacy and perpetual growth. Believe a better way is possible. Make a clear and simple prayer for your life, repeat it often. Educate yourself about the risks and harms of psychedelics before trying them, then please approach only with reverence, respect, and a deep sense of responsibility. Stop abusing psychedelics. Listen to your elders. Move slowly.",INTELLIGENCES,STEWARD
Lila Behr,https://earthone.world/alliance/lila-behr,"Founder of Gaia Protection 
Founder of Soulutions 
Co-Founder La Colmena 
Steward of Finca Solantis - Digital Detox and Ayurveda Retreat 
Strategic Partnerships United Planet (UP) Game",FOUNDER,Costa Rica / Germany,www.soulutions.earth,https://www.instagram.com/lilavioletaa,https://www.linkedin.com/in/lilabehr/,Germany,"Growing up between Costa Rica and Germany nurtured Lila's interest in sustainable development and regenerative economy. She is passionate about identifying the most impactful and innovative solutions of our times to build resilient communities for social, environmental, and financial harmony.
As a social entrepreneur by heart, she founded the Non-Profit Gaia Protection based in Germany and witnessed the many challenges in the Philantrophy world. To solve these issues, She founded Soulutions, an online fundraising platform that provides transparent fundraising and storytelling tools for next gen impact investors.
She is Community Manager and Co-Producer at UNITED PLANET Game (UP Game), an immersive docu-series that brings together visionaries, leaders and system-thinkers in a playful and creative way around the world.
She is a Strategic Partnerships and Ecosystem Associate at Leaders on Purpose, which mobilizes multi-national corporations to adopt a purpose-centered business approach to accelerate impact systematically.
Her academic research is about the importance of the protection of Indigenous Peoples, People-Centered technology, and Nature-based Solutions.","
'- Ability to serve as a good listener and a systemic thinker, adept at identifying metapatterns within complex systems. 
- Bringing people together to co-create solutions and adapt fluidly to diverse environments and experiences. 
- As a videographer and storyteller at heart, I bring these elements to life by capturing and sharing powerful narratives that inspire change and connect communities.
- WHOLY COFFEE to power our minds, bodies and souls :)","
I want to learn more about systemic investing, blended finance, and how to conduct thorough impact due diligence to ensure transformative outcomes. Would love to have conversations on how we can bring tangible outputs into the valuable conversations and partnerships we are forming on the crossing and beyond.","
- Identify the most catalytic, innovative, and impactful projects for learning and cross-collaboration with other bioregions.
- Engage with systemic investors to learn how to invest holistically and drive meaningful, transformative change.
Explore what is needed to build trust and mutual support, strengthening interpersonal relationships in times of uncertainty.
- Foster collaboration within the Earth One community to co-create resilient, sustainable, and thriving communities.",,
Lisa Christensen,https://earthone.world/alliance/lisa-christensen,"Hong Kong Cleanup
Refined Travellers",FOUNDER + CEO,Hong Kong + Canada,www.HKcleanup.org,https://www.instagram.com/lisachristensenmh,https://www.linkedin.com/in/lisachristensenmh,Canada,"Lisa is a multi-award winning social and environmental entrepreneur with over 25 years of experience in ocean conservation and sustainability. She is the recipient of the 2019 Medal of Honour from the Hong Kong Government for her dedication to ocean conservation. Lisa has launched several successful organizations that serve to ignite human potential and create a better world for people and the planet.
She founded Hong Kong Cleanup, which she scaled regionally, then globally, engaging thousands of companies, and millions of individuals, successfully cleaning up over 10 million kg's of trash from the world’s beaches.
She is also the founder of Refined Travellers, a brand that inspires people to travel in sustainable style.
And earlier, she founded Ecozine, an award-winning magazine devoted to sustainable lifestyle.
Lisa is a frequent speaker, a TEDx presenter, and an author in the making.
She is passionate about sustainability, wellness, travel, art, investing, sailing, hiking, cycling, and skiing.","
The essence of my work is the deep commitment to solving one of the most pressing environmental challenges of our time—plastic pollution in our oceans. I believe that human health and ocean health are intrinsically connected. Over the years, I’ve founded and led multiple social enterprises and nonprofits, like the Hong Kong Cleanup, which has mobilized millions of volunteers and removed over 11 million kilograms of trash from our environment.

At the core of my theory of change is the belief that raising human consciousness is key to creating lasting solutions for environmental problems. I believe that by empowering individuals and organizations to take responsibility, fostering collaboration, and spreading awareness, we can accelerate change at scale. It’s about aligning personal well-being with planetary well-being, so people understand that healing the earth heals ourselves.

What matters most for all of us to understand is that we are at a critical tipping point. The health of our oceans directly impacts the future of humanity. We need to shift from treating symptoms to addressing root causes. Education, engagement, and systemic changes are crucial. Whether it's reducing plastic use, supporting sustainable systems, or fostering community-led cleanups, every individual action adds up to a collective impact.","
The greatest challenge I face in this work is scaling our efforts to match the urgency and scale of the problem. While we have made incredible progress in raising awareness and mobilizing volunteers, the environmental crisis we face is growing faster than our current solutions. We need to build global, interconnected systems that prioritize sustainability, and this requires more than individual actions—it requires systemic change at all levels of society, and I believe that technology can play a major role..","
My invitation to the Earth One Alliance is to help amplify the message of interconnectedness and drive forward the movement of raising human consciousness. This could be through forming partnerships, in this age of collaboration that integrate ocean and environmental health with holistic well-being, creating platforms for education and outreach, or leveraging our networks to inspire leaders in other sectors to prioritize sustainable action.

Together, we can co-create systems where humanity thrives in harmony with the planet, where the health of our oceans is protected, and where future generations can live in a world free from the devastation of plastic pollution. Let’s build that future together.",OCEAN,FELLOW
Loretta Afraid of Bear Cook,https://earthone.world/alliance/loretta-afraid-of-bear-cook,Afraid of Bear - American Horse Tiospaye,SPIRITUAL DIRECTOR AND OGLALA LAKOTA NATION GRANDMOTHER,"Akwesasne, NY, USA. Homelands of the Mohawk Nation of the Iroqois Confederacy",www.Tiospaye1847.org,,,,Oglala Lakota Nation Grandmother; Board Member of Running Strong for American Indian Youth; Co-Founder of the Afraid of Bear - American Horse Tiospaye nonprofit organization; Circle 1 Legacy Leader of Spirit Aligned,"
I am a spiritual nature worshipper. My gift is the gift of prayer. I call on ancestors for help and guidance. I'm a good listener and I listen with compassion, this is my expression of love and how I lead in this world.","
How I can exchange ideas with others to learn and be more effective. Our work needs to reach more people, different audiences. We seek allies, supporters and strong advocates to build a community based on reciprocity, a regenerative world where we are good with and for each other.","
I ask this community to open themselves to our protocols and guiding principles in order to co-create with us.  This allows us to step into relationship with one another in a way that is candid and open.",BIOCULTURES,FELLOW
Louise Carver,https://earthone.world/alliance/louise-carver,TBA21,PROGRAMME LEAD AND SENIOR RESEARCHER,"London, UK",,https://www.instagram.com/louise.carver/,https://www.linkedin.com/in/louise-emily-carver-b7503027/,,"I am 15 years into a 50 year research and practice agenda investigating 1) How transforming relations between nature, society and economy can restore the common conditions of life. 2) How already existing alternatives to the status quo can be beautifully and creatively shared to inspire sensible forms of scaling and transfer.
My work looks at amongst other things: critical questions of value and nature, the paradoxes of the green economy, the potential for reclaiming a common blue economy, strategies to shift mainstream biodiversity conservation to convivial conservation, the question of protein, feminist ecologies and multi-species livelihoods, digital tools and other knowledge techniques for nature restoration and generall how problematic orthodoxies in environmental policy get established and how to shift them towards new possibilities.
I am leading TBA21’s applied critical art and research programme for Convivial Marine Conservation working with community and conservation partners in Jamaica. I am a founding member of the Convivial Conservation Centre at the University of Wageningen, NL and Associate Senior Researcher at Lancaster University, UK.
I work with universities, arts organisations, cultural institutes, governments and NGOs— teaching, exhibiting, leading programmes and publishing in both academic and other formats. Though I'm generally an undisciplined practitioner I hold a PhD in Human Geography and Political Ecology from the University of London since 2017 and I am always interested in exploring experimental collaborations and conversations.","
I already filled this in on the application form though I can augment these entries over the coming days. But I don't have that original form content saved unfortunately !","
Right now, funding. We have a 10 year strategy and all the diverse partners, institutions and all projects in place. We need funding to start all the wheels turning.","
My call to action to the Earth One community is to lift the lid on how mainstream institutional approaches to environment like ocean governance and wildlife conservation contain within them the same thinking which have created the problem. We need to slow down and stay critical— always looking at the longer origins of specific ideas and agendas. It is an emergency but we can not afford to lose more time propping up old ideas in a new dressing. 
 Many of us are working with transversal issues that touch down in specific sector areas, but are really much bigger and interconnected. Another call to action is building powerful momentum through functional and meaningful modes of weaving together and amplification. With so many incredible initiatives out there there is the challenge to cross pollinate them vertically and horizontally in ways that can actually move big waves of change.",OCEAN,FELLOW
Lucian Tarnowski,https://earthone.world/alliance/lucian-tarnowski,,,,,https://www.instagram.com/luciantarnowski,https://www.linkedin.com/in/luciantarnowski,British,,,,,,
Ludwig Kuttner,https://earthone.world/alliance/ludwig-kuttner,Hampshire Investments Ltd.,CEO,"Charlottesville, Virginia, USA",,https://kuttnerludwig/,https://linkedin.com/in/ludwig-kuttner-9371ab129,,"Ludwig Kuttner is an investor, developer, philanthropist and patron of the arts, dividing
his time between Charlottesville Virginia; New York City; and Prague, Czech Republic.
Born in Munich, Germany in 1946, Mr. Kuttner grew up in postwar Germany and studied
law at the Universities of Munich and Regensburg. He moved with his family to the
United States in 1975 and started Hampshire Group Limited, an apparel company, as
their Chairman of the Board, CEO, and president. He is now CEO of K Holdings and
President and CEO of Hampshire Investments, both real estate and investment
companies. Ludwig is actively involved in various boards and charities, including Tibet House, Friends of Charlottesville Downtown, Ix Arts Foundation, Charlottesville Angel Network, among others. He has
developed projects in New York City, NY; Austin, Texas; St. Petersburg, Russia; Prague,
Czech Republic; Munich, Germany; and Ischia, Italy. He built a hotel in Prague that has virtually zero carbon impact with such innovative technology as grey water and heat reclaim systems. He is married to Susan Kuttner, has three sons, and 10 grandchildren.","
Building environmentally friendly buildings using advanced and cutting edge design and technology.","
Government bureaucracy that interferes with building creative environments and push back from community members that do not understand or appreciate how new development and creative density can create a strong economic environment for all.","
The development of a master vision for mixed use/mixed income neighborhoods that address the diverse needs of different members of a community in a financially feasible, but environmentally friendly manner.",,
Lynn Murphy,https://earthone.world/alliance/lynn-murphy,,,"Tierra Valiente, Costa Rica",,,,,,,,"
Moving significant resources (+1 billion) swiftly and in service of Life (the emergent and mature ecosystem leading the way to regenerative, liberatory future)",NEW ECONOMIES,STEWARD
Lynn Van Housen,https://earthone.world/alliance/lynn-van-housen,Afraid of Bear - American Horse Tiospaye,ADMINISTRATOR,"Berkeley, California, USA",www.tiospaye1847.org,,https://www.linkedin.com/in/lynn-van-housen-b9581b/,USA,,"
I believe we need to create connections and celebrate differences in the name of shifting governance to serving our shared interests that go beyond the creation of individual and corporate wealth. I've been told I have a ""long wick"" -- I have time for all sorts of people.","
How do we correct past failures so that we can move forward in a spirit of true solidarity and interdependence?  The indigenous elders I work with seek a formal repudiation by the Vatican of the church's 1493 Doctrine of Discovery and the honoring of the US government's 1868 Treaty of Fort Laramie that ceded ownership of the Black Hills to the Sioux Nation.","
Consider the question of how righting wrongs figures into our urgent work for the future.",BIOCULTURES,FELLOW
Lynne Lin Chen,https://earthone.world/alliance/lynne-lin-chen,,INVESTOR,Atlanta GA USA,,https://www.instagram.com/chubeepaw/?hl=en,https://www.linkedin.com/in/lin-chen-7b9511b/,USA,Full service real estate brokerage firm focused on both residential and commercial real estate investment opportunities.,"
Real Estate","
energy efficient building codes",,,
Lyora Pissarro,https://earthone.world/alliance/lyora-pissarro,,MULTIDISCIPLINARY ARTIST,New York & London,www.lyorapissarro.com,https://www.instagram.com/lyorapissarro,,,"Lyora Pissarro emerges as a compelling contemporary artist who skillfully navigates the intersection of historical legacy and modern innovation. Lyora carries forward a celebrated artistic tradition, infusing it with her own contemporary sensibilities. Her artwork is a vibrant exploration of how traditional techniques can coexist with digital and mixed media. Through her abstract, color-rich compositions, Pissarro delves into themes of perception, technology, and nature, creating work that feels both timeless and avant-garde, a modern impressionism. Her art challenges conventional boundaries, reflecting a nuanced dialogue between her storied heritage and the evolving landscape of contemporary art. Exhibited internationally, Lyora Pissarro’s work is recognized for its ability to merge classical influences with innovative methods, offering a fresh perspective that resonates across diverse audiences.
In an era where the boundary between the real and virtual blurs, her artwork reimagines
traditional landscape painting in the digital realm. What was once captured in oil and
pigment dissolves into pixels, creating a new visual poetry—ripples that distort and reflect,
like light on water. Each stroke vibrates with energy, echoing the Impressionists’ fascination with light while hinting at the surreal, fragmented realities of our digital age","
My work seeks to transform how we connect with ourselves and the world around us. Through vibrant visual paintings and digital displays, I aim to enhance our relationship with nature and inner well-being, offering a  unique way to explore the intersection between tradition and technology and the landscapes within and beyond us. By donating art to children’s hospitals and teaching globally, I bring creativity into places that need hope and inspire countless individuals to embrace making art without fear of judgment. My installations create visual sanctuaries, infusing spaces with calm and inspiration. Ultimately, my mission is to uplift, relax, and inspire connection through art, reshaping how we experience perspective and our story on earth.","
- looking for more clients, sales, funding. Money is a huge challenge for an artist and a painter. 
- Looking for a new gallery and representative of my work. 
- Looking for more exposure, exhibitions and collaborations in new spaces.","
To bring more impact, generosity and hope through art.",,
Lyric Harmony,https://earthone.world/alliance/lyric-harmony,"Sensorium
Nefertem Perfume Co. 
Madhya Labs","CREATIVE PRODUCER, PERFUMER",Mexico City & The Bay Area,www.lyricevents.com,https://www.instagram.com/lyricaleufloria/,https://www.linkedin.com/in/lyricharris999/,,"Lyric Harmony is a creative force—a producer, perfumer, and designer who crafts peak immersive experiences rich in mythopoetic storytelling. Her attention to every detail brings together beauty, art, and transformation, using eco-sensual themes, music, ritual, flowers, and natural aromas to create atmospheres that leave a lasting impression.
With a background in Ecological Design, Perfume Distillation, and the Vedas, Lyric’s work is a sensual fusion of multisensory healing and ecological principles. Her journey is all about changing culture through ontological design and crafting timeless, immersive worlds that ignite the imagination.","
My niche in the impact ecosystem centers on regenerative design, where I specialize in repairing social fabric through immersive, story-driven experiences. Blending ecological principles with a deep sense of connection, I craft transformative environments that evoke beauty, healing, and unity. My natural perfume projects, Madhya Labs and Nefertem, are regenerative offerings that inspire bioregional governance,  and a deep connection and kinship to nature & that which enables one to perceive the world through a mythological lense. My project Sensorium delivers sensorial therapies through the art of scent. As an experience designer, I weave narrative and sensory elements into powerful, engaging experiences that inspire connection and cultivate collective well-being","
Fundraising Support/ Financial Support / Hiring a CEO or Advisor with experience in Natural Products","
I’m thrilled to invite you into a natural perfume project that beautifully weaves storytelling through scent, music, lighting, art, and sensory innovation. Madhya Labs and Sensorium have come together to create capsules of timelessness—designed to rewire the brain’s limbic system, fostering presence, euphoria, and a deep connection to earth and spirit.

What makes this project even more powerful is its role in social repair. By enriching bioregional governance and placemaking, the process of perfume extraction increases the value of ecosystems while fostering community ethics. It’s an opportunity to not only create, but to heal and regenerate our social fabric. If this resonates with you, we’d love for you to be part of this journey",,
Magdalena Lane,https://earthone.world/alliance/magdalena-lane,Mona (Museum of old and new art),PROJECT LEAD - FOREST CONGRESS,"Hobart, Tasmania, Australia",https://mona.net.au,https://www.instagram.com/magdalena.lane/profilecard/?igsh=MW40cHl0c3RuMjEwdQ==,https://www.linkedin.com/in/magdalena-lane-78232b38?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,,,"
My unique skill is in bringing polarised communities together to sense make and work at a whole of system level toward increased and more equitably distributed value.
This skill has most recently been applied to the highly contentious topic of forests and biodiversity in Tasmania","
Building an island of coherence around my practice and connecting with others in developing new tools and approaches to collaborative innovation, relational capital and systems change","
Building a community of practice across nations in relation to social capital and working with communities to come into ‘response-ability’",NEW ECONOMIES,FELLOW
